Date,City,AQI,PM2_5,PM10,CO,NO2,SO2
2025-02-02,Mumbai,90,39.4,59.9,0.73,25.3,4.9
2025-02-03,Mumbai,77,36.5,61.2,0.59,21.6,4.9
2025-02-04,Mumbai,93,46.7,68.7,0.72,27.3,4.9
2025-02-05,Mumbai,79,31.6,62.4,0.6,23.1,5.2
2025-02-06,Mumbai,65,25.7,44.3,0.48,14.4,4.5
2025-02-07,Mumbai,98,40.7,80.8,0.75,27.9,5.5
2025-02-08,Mumbai,88,35.5,63.8,0.75,25.3,5.4
2025-02-09,Mumbai,82,40.7,62.6,0.65,25.2,5.5
2025-02-10,Mumbai,93,41.1,64.7,0.79,23.3,6.6
2025-02-11,Mumbai,96,40.0,65.8,0.7,27.2,5.8
2025-02-12,Mumbai,68,29.5,44.2,0.57,18.9,3.9
2025-02-13,Mumbai,43,18.4,30.2,0.36,12.4,3.0
2025-02-14,Mumbai,46,15.1,39.5,0.32,10.7,2.7
2025-02-15,Mumbai,101,43.9,73.1,0.79,31.1,6.1
2025-02-16,Mumbai,93,39.0,68.5,0.76,27.0,5.6
2025-02-17,Mumbai,97,42.4,76.4,0.72,26.2,6.1
2025-02-18,Mumbai,80,35.4,57.9,0.57,23.5,5.5
2025-02-19,Mumbai,66,30.9,49.2,0.48,14.7,4.0
2025-02-20,Mumbai,87,43.0,70.8,0.71,25.1,4.0
2025-02-21,Mumbai,100,43.3,71.5,0.78,27.3,5.6
2025-02-22,Mumbai,79,33.9,59.8,0.56,21.7,4.2
2025-02-23,Mumbai,12,5.8,2.0,0.1,4.5,0.1
2025-02-24,Mumbai,118,56.7,86.0,0.9,33.4,6.4
2025-02-25,Mumbai,82,35.5,60.8,0.66,21.7,5.6
2025-02-26,Mumbai,87,35.7,67.7,0.64,22.0,5.3
2025-02-27,Mumbai,92,41.0,65.5,0.69,21.6,5.6
2025-02-28,Mumbai,92,40.9,66.4,0.73,25.5,5.6
2025-03-01,Mumbai,96,46.9,62.8,0.76,28.6,6.0
2025-03-02,Mumbai,96,40.8,67.0,0.8,25.4,5.9
2025-03-03,Mumbai,97,50.8,74.3,0.74,24.2,5.7
2025-03-04,Mumbai,87,32.5,61.7,0.71,23.3,5.7
2025-03-05,Mumbai,87,41.2,69.8,0.74,21.2,5.4
2025-03-06,Mumbai,98,39.9,71.4,0.74,29.3,6.1
2025-03-07,Mumbai,50,20.3,35.6,0.4,16.0,3.3
2025-03-08,Mumbai,92,40.6,60.1,0.8,24.9,6.3
2025-03-09,Mumbai,100,51.1,78.0,0.73,26.8,5.9
2025-03-10,Mumbai,100,43.9,68.2,0.8,28.5,5.5
2025-03-11,Mumbai,112,50.6,79.9,0.81,31.5,6.6
2025-03-12,Mumbai,109,48.6,75.8,0.96,31.4,6.4
2025-03-13,Mumbai,110,50.9,75.4,0.89,29.9,6.9
2025-03-14,Mumbai,66,27.9,57.8,0.59,11.9,4.5
2025-03-15,Mumbai,100,42.9,70.0,0.75,26.6,5.4
2025-03-16,Mumbai,93,38.7,71.4,0.75,27.2,5.5
2025-03-17,Mumbai,94,43.8,65.5,0.78,24.0,5.3
2025-03-18,Mumbai,100,47.0,75.9,0.8,31.8,5.1
2025-03-19,Mumbai,12,2.2,2.0,0.1,4.7,0.4
2025-03-20,Mumbai,93,36.7,65.8,0.72,27.3,4.7
2025-03-21,Mumbai,95,46.0,69.0,0.65,29.2,6.1
2025-03-22,Mumbai,108,43.4,88.6,0.83,29.2,6.1
2025-03-23,Mumbai,115,51.2,88.7,0.92,32.0,6.4
2025-03-24,Mumbai,119,49.2,91.3,0.97,35.6,7.8
2025-03-25,Mumbai,105,48.8,87.6,0.84,27.3,6.1
2025-03-26,Mumbai,96,44.3,77.3,0.76,23.6,6.3
2025-03-27,Mumbai,93,37.2,68.9,0.76,26.9,5.5
2025-03-28,Mumbai,123,55.5,97.4,1.02,31.9,7.3
2025-03-29,Mumbai,121,52.9,87.4,0.98,32.9,6.9
2025-03-30,Mumbai,81,40.7,60.1,0.58,19.7,6.0
2025-03-31,Mumbai,103,47.7,73.4,0.84,31.8,5.9
2025-04-01,Mumbai,111,45.7,93.4,0.9,30.3,6.5
2025-04-02,Mumbai,98,42.7,61.3,0.78,27.2,6.1
2025-04-03,Mumbai,107,45.8,80.2,0.78,30.2,5.5
2025-04-04,Mumbai,111,52.0,78.6,0.92,31.3,6.2
2025-04-05,Mumbai,88,40.5,62.0,0.76,24.7,4.9
2025-04-06,Mumbai,119,55.3,71.0,0.93,30.6,6.7
2025-04-07,Mumbai,100,46.1,76.3,0.85,29.3,6.3
2025-04-08,Mumbai,90,44.4,65.9,0.71,21.4,5.9
2025-04-09,Mumbai,84,46.6,61.0,0.68,24.6,4.5
2025-04-10,Mumbai,111,50.1,81.7,0.95,29.3,6.8
2025-04-11,Mumbai,100,42.9,73.5,0.92,28.9,5.7
2025-04-12,Mumbai,109,47.3,73.9,0.94,28.3,7.8
2025-04-13,Mumbai,83,43.7,55.4,0.72,24.2,5.4
2025-04-14,Mumbai,113,49.4,78.2,0.9,32.1,6.5
2025-04-15,Mumbai,111,50.9,78.7,0.91,30.5,6.3
2025-04-16,Mumbai,117,50.3,85.5,0.94,35.5,7.1
2025-04-17,Mumbai,108,47.7,80.6,0.86,30.8,6.3
2025-04-18,Mumbai,102,44.8,68.0,0.95,27.9,6.8
2025-04-19,Mumbai,126,59.5,93.5,1.02,32.7,8.6
2025-04-20,Mumbai,107,47.4,80.7,0.85,28.6,7.1
2025-04-21,Mumbai,110,50.5,80.5,0.93,29.9,7.4
2025-04-22,Mumbai,111,53.6,82.7,0.89,33.5,7.8
2025-04-23,Mumbai,121,57.1,93.7,0.94,34.5,6.8
2025-04-24,Mumbai,93,43.2,59.9,0.75,26.9,5.5
2025-04-25,Mumbai,105,43.2,74.9,0.89,29.4,6.5
2025-04-26,Mumbai,50,22.6,26.0,0.44,17.6,2.5
2025-04-27,Mumbai,79,36.9,66.6,0.63,19.7,4.6
2025-04-28,Mumbai,87,37.1,63.7,0.65,22.8,5.3
2025-04-29,Mumbai,99,40.3,76.2,0.77,29.2,6.3
2025-04-30,Mumbai,115,53.6,82.1,0.99,30.6,7.1
2025-05-01,Mumbai,107,45.1,84.8,0.83,26.6,5.0
2025-05-02,Mumbai,108,52.7,87.3,0.83,29.5,6.2
2025-05-03,Mumbai,101,42.6,80.7,0.83,28.8,5.4
2025-05-04,Mumbai,100,38.1,79.2,0.81,25.3,6.8
2025-05-05,Mumbai,93,43.4,72.5,0.68,26.0,4.8
2025-05-06,Mumbai,81,33.2,57.7,0.68,22.8,4.9
2025-05-07,Mumbai,81,34.9,56.1,0.59,21.5,4.9
2025-05-08,Mumbai,104,45.8,81.5,0.81,26.5,6.5
2025-05-09,Mumbai,37,17.6,30.9,0.32,10.4,3.4
2025-05-10,Mumbai,83,35.6,67.1,0.67,24.8,5.1
2025-05-11,Mumbai,110,46.5,89.2,0.94,28.4,6.9
2025-05-12,Mumbai,108,46.8,71.6,0.81,31.7,6.9
2025-05-13,Mumbai,24,13.3,22.7,0.2,5.3,1.7
2025-05-14,Mumbai,117,54.7,92.1,0.87,31.7,6.1
2025-05-15,Mumbai,115,51.1,88.4,0.85,35.0,6.3
2025-05-16,Mumbai,100,45.4,74.1,0.79,26.7,6.6
2025-05-17,Mumbai,108,44.8,79.1,0.87,32.0,6.2
2025-05-18,Mumbai,97,43.7,77.1,0.71,28.2,5.6
2025-05-19,Mumbai,87,45.2,64.3,0.73,25.8,4.6
2025-05-20,Mumbai,57,28.1,37.3,0.37,18.0,2.9
2025-05-21,Mumbai,99,50.5,66.0,0.73,26.8,5.8
2025-05-22,Mumbai,103,42.9,84.8,0.84,30.0,6.1
2025-05-23,Mumbai,108,51.4,76.0,0.88,31.6,7.3
2025-05-24,Mumbai,122,55.1,97.2,0.84,37.3,7.0
2025-05-25,Mumbai,113,52.2,84.0,0.91,34.8,6.6
2025-05-26,Mumbai,102,51.3,79.1,0.91,30.3,5.5
2025-05-27,Mumbai,99,41.6,74.3,0.79,24.5,5.5
2025-05-28,Mumbai,76,34.9,56.1,0.7,20.5,4.5
2025-05-29,Mumbai,89,38.8,63.0,0.6,23.0,4.9
2025-05-30,Mumbai,116,50.4,97.8,0.88,35.3,7.1
2025-05-31,Mumbai,119,55.8,78.2,0.95,32.8,6.6
2025-06-01,Mumbai,114,56.4,72.1,0.89,29.4,6.9
2025-06-02,Mumbai,92,39.6,72.4,0.82,31.1,5.2
2025-06-03,Mumbai,100,46.7,83.1,0.84,31.2,5.9
2025-06-04,Mumbai,105,47.6,77.1,0.87,31.3,6.8
2025-06-05,Mumbai,46,21.4,38.5,0.27,13.3,2.8
2025-06-06,Mumbai,113,50.6,86.9,0.88,33.9,7.0
2025-06-07,Mumbai,118,51.0,92.6,0.95,31.5,7.1
2025-06-08,Mumbai,122,56.6,93.9,0.98,36.2,7.9
2025-06-09,Mumbai,109,47.3,76.5,0.84,34.4,6.7
2025-06-10,Mumbai,125,55.9,92.5,1.0,34.8,7.1
2025-06-11,Mumbai,38,18.6,33.8,0.43,9.8,2.1
2025-06-12,Mumbai,119,56.9,93.3,0.91,31.5,7.6
2025-06-13,Mumbai,124,58.1,88.6,0.9,33.0,7.8
2025-06-14,Mumbai,95,41.5,82.6,0.8,23.8,5.8
2025-06-15,Mumbai,114,44.0,88.7,0.97,32.7,6.8
2025-06-16,Mumbai,108,47.9,75.1,0.83,29.4,6.5
2025-06-17,Mumbai,83,34.7,66.0,0.68,22.2,5.2
2025-06-18,Mumbai,105,47.4,83.6,0.81,27.1,6.2
2025-06-19,Mumbai,105,46.4,77.3,0.72,30.5,6.2
2025-06-20,Mumbai,83,38.0,65.9,0.72,23.0,5.0
2025-06-21,Mumbai,99,48.3,73.5,0.74,29.2,4.9
2025-06-22,Mumbai,78,37.8,56.3,0.59,21.0,3.7
2025-06-23,Mumbai,117,52.3,86.4,0.92,32.8,7.3
2025-06-24,Mumbai,114,47.2,88.4,0.94,32.3,7.4
2025-06-25,Mumbai,106,51.0,86.5,0.88,28.2,6.3
2025-06-26,Mumbai,102,41.4,74.5,0.8,26.8,6.6
2025-06-27,Mumbai,121,52.3,93.8,0.96,32.1,6.9
2025-06-28,Mumbai,116,55.0,84.6,0.96,35.6,6.3
2025-06-29,Mumbai,111,52.4,82.8,0.95,35.5,6.8
2025-06-30,Mumbai,113,53.8,89.0,0.78,31.6,6.6
2025-07-01,Mumbai,118,52.5,88.1,0.9,34.5,7.9
2025-07-02,Mumbai,103,42.2,77.4,0.82,31.2,5.6
2025-07-03,Mumbai,111,43.5,90.1,0.9,30.2,6.0
2025-07-04,Mumbai,108,49.8,75.5,0.87,34.3,6.3
2025-07-05,Mumbai,116,53.3,80.9,1.01,35.3,6.9
2025-07-06,Mumbai,100,43.7,73.5,0.82,30.1,5.5
2025-07-07,Mumbai,113,52.7,82.2,0.85,31.9,6.3
2025-07-08,Mumbai,77,31.3,60.5,0.61,20.4,4.6
2025-07-09,Mumbai,126,53.1,92.4,0.97,35.2,7.2
2025-07-10,Mumbai,91,37.8,76.4,0.74,25.9,5.3
2025-07-11,Mumbai,68,29.3,53.6,0.55,16.7,4.2
2025-07-12,Mumbai,77,35.9,50.7,0.61,19.2,4.6
2025-07-13,Mumbai,127,61.7,87.5,1.06,35.8,7.4
2025-07-14,Mumbai,117,51.9,91.3,0.89,31.5,7.5
2025-07-15,Mumbai,127,57.0,81.3,1.01,35.6,7.5
2025-07-16,Mumbai,119,52.1,93.4,0.89,35.8,7.9
2025-07-17,Mumbai,101,42.7,77.8,0.75,27.3,6.6
2025-07-18,Mumbai,110,55.4,83.4,0.85,30.9,6.5
2025-07-19,Mumbai,115,51.7,81.6,0.93,29.4,6.5
2025-07-20,Mumbai,109,42.3,85.6,0.77,31.9,5.9
2025-07-21,Mumbai,115,53.3,97.2,0.93,28.2,7.4
2025-07-22,Mumbai,103,46.6,80.0,0.71,28.9,6.0
2025-07-23,Mumbai,94,44.5,62.4,0.82,27.2,4.9
2025-07-24,Mumbai,117,55.8,81.7,1.0,29.7,6.6
2025-07-25,Mumbai,12,9.5,6.5,0.1,4.3,1.1
2025-07-26,Mumbai,89,39.2,68.0,0.68,28.3,5.9
2025-07-27,Mumbai,108,51.0,83.6,0.8,31.5,6.5
2025-07-28,Mumbai,112,52.8,86.8,0.81,31.2,6.4
2025-07-29,Mumbai,125,55.0,92.4,1.02,34.1,7.6
2025-07-30,Mumbai,85,35.8,67.0,0.62,26.3,5.6
2025-07-31,Mumbai,78,44.1,64.7,0.58,23.3,4.7
2025-08-01,Mumbai,80,32.8,65.0,0.61,22.2,4.3
2025-08-02,Mumbai,112,50.0,85.9,0.77,31.4,6.3
2025-08-03,Mumbai,125,65.1,92.0,0.91,35.2,7.4
2025-08-04,Mumbai,129,63.0,101.1,1.0,37.5,7.9
2025-08-05,Mumbai,75,29.1,61.6,0.61,20.8,4.2
2025-08-06,Mumbai,114,52.3,76.8,0.95,29.8,5.8
2025-08-07,Mumbai,99,42.0,70.6,0.85,31.4,5.2
2025-08-08,Mumbai,110,46.9,87.2,0.96,28.6,7.3
2025-08-09,Mumbai,102,46.9,70.1,0.81,28.3,6.0
2025-08-10,Mumbai,112,47.4,79.6,0.92,34.0,6.7
2025-08-11,Mumbai,111,52.2,87.4,0.84,29.5,6.3
2025-08-12,Mumbai,109,50.6,84.1,0.89,27.9,7.5
2025-08-13,Mumbai,84,40.0,54.2,0.71,22.8,4.4
2025-08-14,Mumbai,101,41.7,69.3,0.81,27.5,6.2
2025-08-15,Mumbai,121,54.1,79.5,0.96,36.3,7.2
2025-08-16,Mumbai,123,56.7,83.1,0.99,35.0,7.9
2025-08-17,Mumbai,123,58.1,94.5,1.02,34.1,6.6
2025-08-18,Mumbai,117,53.7,81.7,1.0,34.8,6.3
2025-08-19,Mumbai,123,54.4,88.4,1.04,34.3,8.3
2025-08-20,Mumbai,95,37.6,69.8,0.8,24.7,5.0
2025-08-21,Mumbai,119,49.2,90.8,0.93,34.3,6.4
2025-08-22,Mumbai,122,54.4,95.3,1.02,31.8,7.8
2025-08-23,Mumbai,41,14.3,40.6,0.38,15.6,2.3
2025-08-24,Mumbai,106,49.3,79.4,0.81,27.9,6.5
2025-08-25,Mumbai,52,20.1,41.0,0.41,16.4,2.9
2025-08-26,Mumbai,108,49.9,76.9,0.83,29.0,6.4
2025-08-27,Mumbai,124,51.7,99.5,1.03,37.9,9.0
2025-08-28,Mumbai,71,34.7,46.7,0.51,20.6,3.4
2025-08-29,Mumbai,112,44.0,89.8,0.88,31.6,6.3
2025-08-30,Mumbai,34,19.0,32.2,0.25,10.8,1.8
2025-08-31,Mumbai,109,51.3,84.5,0.94,31.6,6.6
2025-09-01,Mumbai,108,47.2,85.1,0.79,32.5,6.3
2025-09-02,Mumbai,105,44.0,82.1,0.84,32.6,5.7
2025-09-03,Mumbai,107,47.9,76.5,0.86,30.6,6.7
2025-09-04,Mumbai,116,48.3,88.7,0.9,33.3,7.2
2025-09-05,Mumbai,111,47.2,85.8,0.89,30.6,7.0
2025-09-06,Mumbai,118,51.5,84.2,0.88,33.1,6.4
2025-09-07,Mumbai,110,53.2,80.7,0.85,34.8,7.4
2025-09-08,Mumbai,71,32.4,54.9,0.58,23.5,4.3
2025-09-09,Mumbai,85,40.3,69.7,0.73,24.9,4.3
2025-09-10,Mumbai,106,50.2,80.8,0.89,33.5,5.8
2025-09-11,Mumbai,119,52.6,93.9,0.95,37.6,7.2
2025-09-12,Mumbai,99,45.8,75.9,0.85,28.6,7.2
2025-09-13,Mumbai,38,16.8,25.5,0.31,11.1,2.4
2025-09-14,Mumbai,103,44.5,72.8,0.81,31.1,6.9
2025-09-15,Mumbai,40,15.2,29.6,0.42,13.2,2.7
2025-09-16,Mumbai,116,56.8,81.2,0.91,31.4,7.3
2025-09-17,Mumbai,107,50.4,77.7,0.92,29.8,6.8
2025-09-18,Mumbai,92,44.7,70.8,0.78,29.2,5.8
2025-09-19,Mumbai,107,49.9,80.1,0.74,30.9,6.5
2025-09-20,Mumbai,109,46.8,74.2,0.88,31.3,6.6
2025-09-21,Mumbai,12,2.2,8.3,0.1,5.5,0.9
2025-09-22,Mumbai,100,50.2,73.7,0.83,27.7,6.8
2025-09-23,Mumbai,79,35.9,58.6,0.64,24.5,5.2
2025-09-24,Mumbai,93,47.0,74.1,0.72,23.3,5.4
2025-09-25,Mumbai,67,31.9,57.0,0.48,17.9,3.4
2025-09-26,Mumbai,67,28.3,52.1,0.57,16.9,3.6
2025-09-27,Mumbai,96,43.8,68.3,0.85,27.7,5.7
2025-09-28,Mumbai,12,1.0,2.2,0.1,2.0,0.2
2025-09-29,Mumbai,110,51.0,80.2,0.98,27.3,6.6
2025-09-30,Mumbai,101,43.8,72.3,0.81,27.8,5.9
2025-10-01,Mumbai,48,16.7,34.6,0.36,13.0,2.8
2025-10-02,Mumbai,22,9.3,12.2,0.25,4.6,1.1
2025-10-03,Mumbai,99,42.3,74.4,0.79,26.8,5.8
2025-10-04,Mumbai,102,47.1,86.8,0.77,29.3,6.1
2025-10-05,Mumbai,123,57.4,93.3,0.98,33.6,7.0
2025-10-06,Mumbai,66,25.8,46.5,0.58,18.7,4.4
2025-10-07,Mumbai,115,51.2,87.3,0.9,30.6,6.4
2025-10-08,Mumbai,107,48.8,89.5,0.9,28.5,6.8
2025-10-09,Mumbai,65,32.9,46.3,0.47,16.6,3.5
2025-10-10,Mumbai,99,42.8,78.5,0.88,25.1,6.6
2025-10-11,Mumbai,105,48.3,70.5,0.87,25.4,6.5
2025-10-12,Mumbai,109,49.6,78.1,0.9,31.3,6.4
2025-10-13,Mumbai,106,47.4,82.1,0.84,30.1,6.6
2025-10-14,Mumbai,103,42.6,78.6,0.88,29.4,6.3
2025-10-15,Mumbai,77,36.9,56.8,0.59,23.8,4.4
2025-10-16,Mumbai,112,53.7,86.8,0.83,31.4,6.6
2025-10-17,Mumbai,94,42.7,74.3,0.73,26.0,5.5
2025-10-18,Mumbai,57,24.9,36.6,0.38,16.7,3.0
2025-10-19,Mumbai,109,45.1,79.1,0.81,31.4,6.9
2025-10-20,Mumbai,88,36.3,62.3,0.72,21.3,5.2
2025-10-21,Mumbai,115,51.2,78.8,0.89,30.9,8.0
2025-10-22,Mumbai,116,54.4,85.3,0.99,30.2,7.5
2025-10-23,Mumbai,108,48.1,86.7,0.84,27.7,7.0
2025-10-24,Mumbai,101,47.3,84.9,0.77,28.0,6.8
2025-10-25,Mumbai,115,49.7,81.5,0.89,30.7,7.0
2025-10-26,Mumbai,83,38.2,58.0,0.66,19.1,5.1
2025-10-27,Mumbai,40,13.7,32.4,0.29,12.8,2.5
2025-10-28,Mumbai,77,34.8,64.4,0.63,20.1,4.7
2025-10-29,Mumbai,12,5.9,6.9,0.1,3.8,0.7
2025-10-30,Mumbai,87,37.9,55.3,0.68,21.1,5.4
2025-10-31,Mumbai,90,37.5,65.7,0.8,23.1,5.4
2025-11-01,Mumbai,111,54.4,87.1,0.94,32.8,6.1
2025-11-02,Mumbai,81,39.0,56.0,0.62,21.1,5.2
2025-11-03,Mumbai,93,40.9,63.3,0.74,24.9,5.7
2025-11-04,Mumbai,95,43.3,69.1,0.7,23.9,5.1
2025-11-05,Mumbai,104,47.2,79.3,0.85,27.6,6.8
2025-11-06,Mumbai,95,44.1,70.4,0.78,26.2,5.9
2025-11-07,Mumbai,85,40.7,59.7,0.59,21.9,5.6
2025-11-08,Mumbai,15,7.0,6.0,0.12,2.2,0.5
2025-11-09,Mumbai,96,44.5,74.8,0.8,23.7,5.8
2025-11-10,Mumbai,99,40.0,74.3,0.78,28.7,6.0
2025-11-11,Mumbai,102,48.7,65.4,0.81,25.0,5.7
2025-11-12,Mumbai,93,38.0,62.6,0.86,23.3,6.4
2025-11-13,Mumbai,101,43.9,78.6,0.87,26.0,5.8
2025-11-14,Mumbai,105,48.1,84.3,0.87,33.0,6.4
2025-11-15,Mumbai,103,47.3,76.5,0.87,29.3,6.6
2025-11-16,Mumbai,12,6.7,11.5,0.1,2.3,1.1
2025-11-17,Mumbai,99,38.7,71.4,0.79,26.0,5.5
2025-11-18,Mumbai,100,49.7,64.8,0.79,28.9,6.4
2025-11-19,Mumbai,111,55.2,83.4,0.95,29.8,6.7
2025-11-20,Mumbai,63,31.1,46.6,0.52,17.0,4.1
2025-11-21,Mumbai,102,42.9,71.8,0.81,29.9,7.1
2025-11-22,Mumbai,101,48.5,67.7,0.91,29.5,6.0
2025-11-23,Mumbai,74,30.0,51.4,0.69,18.7,3.9
2025-11-24,Mumbai,71,28.4,53.3,0.62,18.7,3.6
2025-11-25,Mumbai,105,47.1,83.8,0.82,28.9,6.2
2025-11-26,Mumbai,80,34.8,57.2,0.55,21.3,5.2
2025-11-27,Mumbai,104,45.4,84.5,0.83,26.4,5.4
2025-11-28,Mumbai,108,47.5,74.9,0.75,29.4,6.7
2025-11-29,Mumbai,67,27.0,47.5,0.6,16.0,3.7
2025-11-30,Mumbai,109,50.5,82.6,0.84,30.6,6.3
2025-12-01,Mumbai,91,37.7,72.2,0.72,26.1,5.5
2025-12-02,Mumbai,96,42.4,69.6,0.73,24.1,5.2
2025-12-03,Mumbai,12,1.0,2.1,0.15,3.8,0.5
2025-12-04,Mumbai,116,47.3,91.9,0.92,34.1,7.0
2025-12-05,Mumbai,65,29.5,50.4,0.41,22.1,4.1
2025-12-06,Mumbai,86,35.2,68.0,0.74,24.6,5.2
2025-12-07,Mumbai,96,42.6,69.4,0.8,25.2,6.0
2025-12-08,Mumbai,89,39.3,69.8,0.68,26.2,5.6
2025-12-09,Mumbai,89,43.5,67.1,0.77,28.5,5.2
2025-12-10,Mumbai,106,45.8,74.3,0.84,27.0,5.9
2025-12-11,Mumbai,103,44.8,80.8,0.84,32.5,6.4
2025-12-12,Mumbai,105,48.5,80.3,0.9,30.7,6.4
2025-12-13,Mumbai,102,47.5,73.1,0.78,31.4,7.1
2025-12-14,Mumbai,86,36.7,70.2,0.71,25.4,5.6
2025-12-15,Mumbai,91,41.9,69.5,0.69,26.1,6.1
2025-12-16,Mumbai,51,23.4,39.3,0.39,15.6,2.7
2025-12-17,Mumbai,109,50.9,77.1,0.96,30.9,6.2
2025-12-18,Mumbai,88,41.1,57.1,0.68,25.2,4.2
2025-12-19,Mumbai,69,31.5,45.8,0.57,19.3,3.5
2025-12-20,Mumbai,74,35.8,54.1,0.58,22.2,4.3
2025-12-21,Mumbai,63,29.8,43.2,0.48,20.6,3.7
2025-12-22,Mumbai,62,29.4,49.0,0.45,17.2,3.7
2025-12-23,Mumbai,101,46.3,88.7,0.75,30.2,6.7
2025-12-24,Mumbai,97,41.7,81.1,0.67,25.8,6.4
2025-12-25,Mumbai,95,47.5,63.7,0.7,25.5,5.9
2025-12-26,Mumbai,92,39.9,76.1,0.81,24.9,4.7
2025-12-27,Mumbai,63,29.1,50.5,0.51,17.5,3.4
2025-12-28,Mumbai,102,50.9,65.4,0.81,26.6,5.4
2025-12-29,Mumbai,63,29.5,49.3,0.58,17.7,2.9
2025-12-30,Mumbai,65,25.1,42.7,0.55,18.6,4.2
2025-12-31,Mumbai,100,47.4,72.9,0.86,28.7,5.9
2026-01-01,Mumbai,79,35.5,67.2,0.64,22.1,4.6
2026-01-02,Mumbai,106,49.8,78.1,0.79,27.9,6.3
2026-01-03,Mumbai,104,46.0,75.0,0.74,32.1,6.5
2026-01-04,Mumbai,74,36.2,54.7,0.6,23.7,4.5
2026-01-05,Mumbai,107,50.8,83.5,0.85,29.9,6.8
2026-01-06,Mumbai,98,47.6,76.3,0.81,26.5,5.6
2026-01-07,Mumbai,102,44.2,76.4,0.88,31.0,6.3
2026-01-08,Mumbai,66,29.3,53.8,0.53,17.4,4.6
2026-01-09,Mumbai,75,32.0,58.6,0.65,19.0,4.4
2026-01-10,Mumbai,87,40.5,68.4,0.67,21.4,5.7
2026-01-11,Mumbai,91,41.8,67.6,0.74,28.8,7.0
2026-01-12,Mumbai,87,42.1,64.5,0.75,26.3,5.9
2026-01-13,Mumbai,12,2.7,13.6,0.1,2.9,0.5
2026-01-14,Mumbai,75,38.6,50.3,0.63,20.3,3.8
2026-01-15,Mumbai,63,25.9,39.4,0.46,15.6,3.5
2026-01-16,Mumbai,85,37.1,60.2,0.7,25.0,5.2
2026-01-17,Mumbai,99,43.8,70.1,0.75,29.1,5.1
2026-01-18,Mumbai,90,39.5,70.5,0.65,25.2,5.6
2026-01-19,Mumbai,53,20.6,39.3,0.45,15.2,3.5
2026-01-20,Mumbai,93,37.1,70.2,0.68,24.3,6.0
2026-01-21,Mumbai,25,9.5,15.3,0.23,7.4,0.9
2026-01-22,Mumbai,77,40.3,51.6,0.64,24.6,4.7
2026-01-23,Mumbai,12,1.1,2.0,0.11,6.3,0.5
2026-01-24,Mumbai,66,31.8,46.1,0.54,18.6,3.8
2026-01-25,Mumbai,92,46.7,72.0,0.79,23.9,6.1
2026-01-26,Mumbai,95,38.3,73.9,0.73,23.5,5.8
2026-01-27,Mumbai,102,46.4,76.0,0.8,33.5,5.5
2026-01-28,Mumbai,98,44.1,69.2,0.78,24.7,5.6
2026-01-29,Mumbai,92,36.7,71.5,0.69,22.9,5.0
2026-01-30,Mumbai,73,26.9,56.9,0.55,19.7,4.7
2026-01-31,Mumbai,101,43.4,69.0,0.84,29.4,5.9
2026-02-01,Mumbai,94,41.0,66.4,0.75,27.4,5.8
2026-02-02,Mumbai,103,44.1,85.2,0.81,28.6,5.5
2026-02-03,Mumbai,72,34.0,57.8,0.65,21.2,4.5
2026-02-04,Mumbai,106,45.7,84.4,0.9,27.5,6.7
2026-02-05,Mumbai,103,43.0,80.0,0.77,24.0,6.1
2026-02-06,Mumbai,12,5.1,23.3,0.11,3.7,0.9
2026-02-07,Mumbai,67,32.9,52.1,0.55,17.5,3.2
2026-02-08,Mumbai,88,40.4,63.8,0.72,24.2,5.5
2026-02-09,Mumbai,69,31.6,48.5,0.48,19.0,4.9
2026-02-10,Mumbai,91,41.3,72.2,0.84,24.5,5.1
2026-02-11,Mumbai,95,46.2,66.9,0.74,22.9,6.1
2026-02-12,Mumbai,109,51.6,73.7,0.9,27.2,6.6
2026-02-13,Mumbai,54,25.2,43.2,0.43,11.2,3.5
2026-02-14,Mumbai,99,41.8,66.4,0.87,30.2,6.3
2026-02-15,Mumbai,95,35.2,75.1,0.78,25.9,6.3
2026-02-16,Mumbai,104,47.3,78.2,0.83,30.5,5.8
2026-02-17,Mumbai,112,47.6,90.7,0.92,30.0,6.8
2026-02-18,Mumbai,92,45.9,77.1,0.77,28.9,5.6
2026-02-19,Mumbai,83,41.0,62.2,0.67,25.1,5.3
2026-02-20,Mumbai,67,23.6,49.4,0.43,16.8,3.6
2026-02-21,Mumbai,96,45.7,77.2,0.79,28.1,6.1
2026-02-22,Mumbai,80,36.0,51.0,0.67,18.2,4.7
2026-02-23,Mumbai,107,44.8,85.1,0.88,30.7,6.8
2026-02-24,Mumbai,94,42.8,70.6,0.75,25.0,5.0
2026-02-25,Mumbai,98,42.9,69.8,0.83,25.1,5.8
2026-02-26,Mumbai,110,52.2,88.6,0.85,32.4,6.1
2026-02-27,Mumbai,108,48.1,78.1,0.85,29.3,6.0
2026-02-28,Mumbai,59,26.0,45.3,0.48,16.6,3.6
2026-03-01,Mumbai,77,38.9,61.6,0.62,20.7,4.6
2026-03-02,Mumbai,104,51.3,71.1,0.86,31.4,5.5
2026-03-03,Mumbai,66,26.5,51.7,0.51,18.2,3.8
2026-03-04,Mumbai,112,51.1,85.2,0.9,32.5,6.6
2026-03-05,Mumbai,118,49.4,79.9,0.85,28.9,7.4
2026-03-06,Mumbai,109,52.7,76.5,0.91,30.6,6.6
2026-03-07,Mumbai,111,47.7,96.2,0.95,30.0,6.1
