Date,City,District,Crime_Category,Arrest_Status,Case_Status
2025-07-31,Mumbai,District B,Theft,Not Arrested,Active
2025-07-31,Mumbai,District B,Theft,Not Arrested,Active
2025-07-31,Mumbai,District B,Burglary,Not Arrested,Active
2025-07-31,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-01,Mumbai,District A,Theft,Not Arrested,Active
2025-08-01,Mumbai,District C,Theft,Not Arrested,Active
2025-08-01,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-01,Mumbai,District B,Theft,Not Arrested,Active
2025-08-01,Mumbai,District B,Theft,Not Arrested,Active
2025-08-01,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-01,Mumbai,District B,Vandalism,Not Arrested,Solved
2025-08-01,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-01,Mumbai,District C,Burglary,Not Arrested,Active
2025-08-01,Mumbai,District A,Vandalism,Arrested,Solved
2025-08-01,Mumbai,District C,Theft,Not Arrested,Active
2025-08-01,Mumbai,District D,Vandalism,Not Arrested,Active
2025-08-02,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-02,Mumbai,District B,Assault,Arrested,Solved
2025-08-02,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-02,Mumbai,District C,Vandalism,Arrested,Solved
2025-08-02,Mumbai,District A,Theft,Arrested,Solved
2025-08-02,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-02,Mumbai,District B,Theft,Not Arrested,Active
2025-08-02,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-02,Mumbai,District A,Theft,Not Arrested,Active
2025-08-02,Mumbai,District C,Theft,Arrested,Solved
2025-08-02,Mumbai,District A,Theft,Not Arrested,Active
2025-08-02,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-02,Mumbai,District C,Theft,Not Arrested,Active
2025-08-03,Mumbai,District A,Assault,Arrested,Solved
2025-08-03,Mumbai,District D,Vandalism,Arrested,Solved
2025-08-03,Mumbai,District A,Burglary,Not Arrested,Solved
2025-08-03,Mumbai,District B,Theft,Arrested,Solved
2025-08-03,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-03,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-03,Mumbai,District C,Assault,Arrested,Solved
2025-08-04,Mumbai,District A,Theft,Not Arrested,Active
2025-08-04,Mumbai,District C,Assault,Not Arrested,Active
2025-08-04,Mumbai,District C,Assault,Not Arrested,Active
2025-08-04,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-05,Mumbai,District C,Traffic Violation,Arrested,Solved
2025-08-05,Mumbai,District A,Theft,Not Arrested,Active
2025-08-05,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-05,Mumbai,District B,Theft,Not Arrested,Active
2025-08-05,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-05,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-05,Mumbai,District B,Assault,Not Arrested,Active
2025-08-06,Mumbai,District A,Theft,Arrested,Solved
2025-08-06,Mumbai,District B,Theft,Not Arrested,Active
2025-08-06,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-06,Mumbai,District C,Assault,Not Arrested,Active
2025-08-06,Mumbai,District B,Theft,Not Arrested,Active
2025-08-07,Mumbai,District C,Traffic Violation,Arrested,Solved
2025-08-07,Mumbai,District B,Theft,Not Arrested,Active
2025-08-07,Mumbai,District A,Burglary,Not Arrested,Solved
2025-08-07,Mumbai,District C,Burglary,Arrested,Solved
2025-08-07,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-07,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-07,Mumbai,District B,Assault,Not Arrested,Active
2025-08-08,Mumbai,District D,Vandalism,Not Arrested,Active
2025-08-08,Mumbai,District A,Theft,Not Arrested,Active
2025-08-08,Mumbai,District B,Theft,Not Arrested,Active
2025-08-08,Mumbai,District A,Assault,Arrested,Solved
2025-08-08,Mumbai,District B,Theft,Not Arrested,Active
2025-08-08,Mumbai,District A,Theft,Not Arrested,Active
2025-08-08,Mumbai,District C,Vandalism,Arrested,Solved
2025-08-08,Mumbai,District B,Theft,Not Arrested,Active
2025-08-08,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-08,Mumbai,District C,Theft,Not Arrested,Active
2025-08-08,Mumbai,District C,Burglary,Arrested,Solved
2025-08-09,Mumbai,District C,Burglary,Not Arrested,Active
2025-08-09,Mumbai,District A,Vandalism,Not Arrested,Solved
2025-08-09,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-09,Mumbai,District A,Theft,Not Arrested,Active
2025-08-09,Mumbai,District B,Theft,Not Arrested,Active
2025-08-09,Mumbai,District A,Assault,Arrested,Solved
2025-08-09,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-09,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-09,Mumbai,District A,Theft,Not Arrested,Active
2025-08-09,Mumbai,District D,Traffic Violation,Not Arrested,Active
2025-08-09,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-10,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-10,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-10,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-10,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-10,Mumbai,District A,Theft,Not Arrested,Active
2025-08-10,Mumbai,District D,Theft,Not Arrested,Active
2025-08-10,Mumbai,District C,Traffic Violation,Arrested,Solved
2025-08-11,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-08-11,Mumbai,District A,Assault,Arrested,Solved
2025-08-11,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-11,Mumbai,District C,Traffic Violation,Arrested,Solved
2025-08-11,Mumbai,District B,Assault,Not Arrested,Active
2025-08-11,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-11,Mumbai,District B,Theft,Not Arrested,Active
2025-08-11,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-12,Mumbai,District A,Assault,Arrested,Solved
2025-08-12,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-12,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-12,Mumbai,District D,Theft,Not Arrested,Active
2025-08-12,Mumbai,District A,Assault,Arrested,Solved
2025-08-12,Mumbai,District B,Vandalism,Arrested,Solved
2025-08-12,Mumbai,District A,Theft,Not Arrested,Solved
2025-08-12,Mumbai,District B,Assault,Arrested,Solved
2025-08-12,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-12,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-12,Mumbai,District D,Theft,Arrested,Solved
2025-08-13,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-13,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-13,Mumbai,District B,Assault,Arrested,Solved
2025-08-13,Mumbai,District B,Burglary,Arrested,Solved
2025-08-13,Mumbai,District C,Theft,Not Arrested,Active
2025-08-13,Mumbai,District B,Theft,Not Arrested,Active
2025-08-13,Mumbai,District A,Vandalism,Arrested,Solved
2025-08-13,Mumbai,District A,Burglary,Arrested,Solved
2025-08-13,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-13,Mumbai,District A,Assault,Not Arrested,Active
2025-08-13,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-13,Mumbai,District D,Burglary,Not Arrested,Active
2025-08-14,Mumbai,District A,Theft,Arrested,Solved
2025-08-14,Mumbai,District D,Vandalism,Arrested,Solved
2025-08-14,Mumbai,District A,Theft,Not Arrested,Active
2025-08-14,Mumbai,District B,Theft,Not Arrested,Solved
2025-08-14,Mumbai,District D,Theft,Not Arrested,Active
2025-08-14,Mumbai,District A,Vandalism,Arrested,Solved
2025-08-14,Mumbai,District B,Assault,Arrested,Solved
2025-08-14,Mumbai,District A,Theft,Not Arrested,Active
2025-08-15,Mumbai,District A,Theft,Arrested,Solved
2025-08-15,Mumbai,District A,Theft,Not Arrested,Active
2025-08-15,Mumbai,District B,Assault,Not Arrested,Solved
2025-08-15,Mumbai,District C,Assault,Not Arrested,Active
2025-08-15,Mumbai,District A,Assault,Arrested,Solved
2025-08-15,Mumbai,District C,Assault,Arrested,Solved
2025-08-15,Mumbai,District A,Assault,Arrested,Solved
2025-08-15,Mumbai,District B,Theft,Arrested,Solved
2025-08-15,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-08-15,Mumbai,District D,Burglary,Not Arrested,Active
2025-08-15,Mumbai,District A,Theft,Arrested,Solved
2025-08-15,Mumbai,District A,Theft,Arrested,Solved
2025-08-15,Mumbai,District B,Theft,Not Arrested,Active
2025-08-16,Mumbai,District A,Theft,Not Arrested,Active
2025-08-16,Mumbai,District A,Theft,Not Arrested,Active
2025-08-16,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-16,Mumbai,District B,Assault,Arrested,Solved
2025-08-16,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-16,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-08-16,Mumbai,District B,Theft,Not Arrested,Active
2025-08-16,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-16,Mumbai,District A,Burglary,Arrested,Solved
2025-08-17,Mumbai,District A,Theft,Not Arrested,Active
2025-08-17,Mumbai,District A,Burglary,Arrested,Solved
2025-08-17,Mumbai,District A,Theft,Not Arrested,Active
2025-08-17,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-17,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-17,Mumbai,District B,Assault,Arrested,Solved
2025-08-17,Mumbai,District B,Vandalism,Arrested,Solved
2025-08-17,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-17,Mumbai,District A,Theft,Not Arrested,Active
2025-08-17,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-17,Mumbai,District B,Theft,Not Arrested,Active
2025-08-17,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-17,Mumbai,District C,Assault,Not Arrested,Active
2025-08-17,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-18,Mumbai,District A,Burglary,Arrested,Solved
2025-08-18,Mumbai,District C,Theft,Not Arrested,Active
2025-08-18,Mumbai,District A,Theft,Not Arrested,Active
2025-08-18,Mumbai,District D,Theft,Not Arrested,Solved
2025-08-18,Mumbai,District C,Assault,Arrested,Solved
2025-08-18,Mumbai,District A,Burglary,Arrested,Solved
2025-08-18,Mumbai,District C,Assault,Not Arrested,Active
2025-08-18,Mumbai,District A,Theft,Not Arrested,Active
2025-08-18,Mumbai,District C,Theft,Not Arrested,Active
2025-08-18,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-19,Mumbai,District C,Theft,Arrested,Solved
2025-08-19,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-19,Mumbai,District A,Theft,Arrested,Solved
2025-08-19,Mumbai,District D,Theft,Not Arrested,Active
2025-08-19,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-19,Mumbai,District A,Theft,Not Arrested,Solved
2025-08-19,Mumbai,District A,Theft,Not Arrested,Solved
2025-08-19,Mumbai,District C,Theft,Not Arrested,Active
2025-08-20,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-20,Mumbai,District A,Theft,Not Arrested,Active
2025-08-20,Mumbai,District B,Theft,Not Arrested,Active
2025-08-20,Mumbai,District A,Theft,Arrested,Solved
2025-08-20,Mumbai,District A,Assault,Arrested,Solved
2025-08-20,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-08-20,Mumbai,District A,Assault,Arrested,Solved
2025-08-20,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-08-20,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-20,Mumbai,District C,Burglary,Not Arrested,Active
2025-08-20,Mumbai,District A,Theft,Not Arrested,Active
2025-08-20,Mumbai,District D,Theft,Not Arrested,Active
2025-08-20,Mumbai,District B,Theft,Not Arrested,Active
2025-08-20,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-21,Mumbai,District B,Theft,Not Arrested,Active
2025-08-21,Mumbai,District B,Theft,Not Arrested,Active
2025-08-21,Mumbai,District C,Assault,Arrested,Solved
2025-08-21,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-21,Mumbai,District A,Theft,Arrested,Solved
2025-08-21,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-21,Mumbai,District A,Theft,Arrested,Solved
2025-08-21,Mumbai,District A,Theft,Not Arrested,Active
2025-08-21,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-21,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-21,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-21,Mumbai,District B,Theft,Not Arrested,Active
2025-08-21,Mumbai,District B,Theft,Not Arrested,Solved
2025-08-21,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-08-21,Mumbai,District A,Theft,Not Arrested,Active
2025-08-21,Mumbai,District C,Vandalism,Arrested,Solved
2025-08-21,Mumbai,District C,Theft,Not Arrested,Active
2025-08-22,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-22,Mumbai,District B,Theft,Not Arrested,Active
2025-08-22,Mumbai,District B,Assault,Arrested,Solved
2025-08-22,Mumbai,District B,Theft,Not Arrested,Active
2025-08-22,Mumbai,District A,Theft,Not Arrested,Active
2025-08-22,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-22,Mumbai,District A,Theft,Not Arrested,Active
2025-08-22,Mumbai,District A,Theft,Not Arrested,Active
2025-08-22,Mumbai,District A,Theft,Not Arrested,Active
2025-08-22,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-22,Mumbai,District A,Burglary,Arrested,Solved
2025-08-22,Mumbai,District A,Theft,Not Arrested,Active
2025-08-22,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-22,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-22,Mumbai,District B,Theft,Not Arrested,Active
2025-08-23,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-23,Mumbai,District C,Theft,Arrested,Solved
2025-08-23,Mumbai,District C,Vandalism,Arrested,Solved
2025-08-23,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-23,Mumbai,District B,Theft,Not Arrested,Active
2025-08-23,Mumbai,District A,Theft,Not Arrested,Active
2025-08-23,Mumbai,District A,Theft,Not Arrested,Active
2025-08-23,Mumbai,District A,Burglary,Arrested,Solved
2025-08-23,Mumbai,District D,Burglary,Arrested,Solved
2025-08-23,Mumbai,District B,Burglary,Not Arrested,Solved
2025-08-23,Mumbai,District A,Assault,Arrested,Solved
2025-08-23,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-23,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-23,Mumbai,District B,Theft,Not Arrested,Active
2025-08-23,Mumbai,District C,Vandalism,Not Arrested,Solved
2025-08-23,Mumbai,District D,Theft,Not Arrested,Active
2025-08-23,Mumbai,District A,Theft,Not Arrested,Active
2025-08-23,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-23,Mumbai,District B,Theft,Not Arrested,Solved
2025-08-23,Mumbai,District B,Theft,Arrested,Solved
2025-08-23,Mumbai,District B,Theft,Not Arrested,Active
2025-08-23,Mumbai,District C,Theft,Not Arrested,Active
2025-08-23,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-23,Mumbai,District A,Theft,Not Arrested,Active
2025-08-23,Mumbai,District B,Theft,Arrested,Solved
2025-08-23,Mumbai,District C,Theft,Not Arrested,Active
2025-08-24,Mumbai,District A,Vandalism,Arrested,Solved
2025-08-24,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-24,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-24,Mumbai,District C,Theft,Arrested,Solved
2025-08-24,Mumbai,District A,Assault,Arrested,Solved
2025-08-24,Mumbai,District A,Theft,Not Arrested,Active
2025-08-24,Mumbai,District A,Assault,Arrested,Solved
2025-08-24,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-24,Mumbai,District A,Vandalism,Arrested,Solved
2025-08-24,Mumbai,District B,Assault,Arrested,Solved
2025-08-24,Mumbai,District C,Theft,Arrested,Solved
2025-08-24,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-24,Mumbai,District B,Theft,Not Arrested,Active
2025-08-24,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-25,Mumbai,District A,Assault,Arrested,Solved
2025-08-25,Mumbai,District D,Theft,Not Arrested,Active
2025-08-25,Mumbai,District C,Vandalism,Not Arrested,Solved
2025-08-25,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-25,Mumbai,District D,Vandalism,Not Arrested,Active
2025-08-25,Mumbai,District A,Theft,Not Arrested,Solved
2025-08-25,Mumbai,District C,Vandalism,Arrested,Solved
2025-08-25,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-26,Mumbai,District A,Assault,Arrested,Solved
2025-08-26,Mumbai,District D,Burglary,Not Arrested,Active
2025-08-26,Mumbai,District C,Traffic Violation,Arrested,Solved
2025-08-26,Mumbai,District C,Theft,Arrested,Solved
2025-08-26,Mumbai,District C,Assault,Arrested,Solved
2025-08-26,Mumbai,District D,Vandalism,Not Arrested,Active
2025-08-26,Mumbai,District A,Assault,Not Arrested,Active
2025-08-26,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-26,Mumbai,District D,Burglary,Not Arrested,Active
2025-08-26,Mumbai,District A,Theft,Not Arrested,Active
2025-08-26,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-08-26,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-27,Mumbai,District C,Burglary,Arrested,Solved
2025-08-27,Mumbai,District B,Theft,Arrested,Solved
2025-08-27,Mumbai,District A,Theft,Arrested,Solved
2025-08-27,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-27,Mumbai,District D,Burglary,Not Arrested,Active
2025-08-27,Mumbai,District B,Theft,Not Arrested,Active
2025-08-27,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-28,Mumbai,District B,Theft,Not Arrested,Active
2025-08-28,Mumbai,District C,Theft,Not Arrested,Active
2025-08-28,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-28,Mumbai,District A,Theft,Not Arrested,Active
2025-08-28,Mumbai,District B,Theft,Not Arrested,Active
2025-08-28,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-28,Mumbai,District A,Vandalism,Arrested,Solved
2025-08-28,Mumbai,District A,Theft,Not Arrested,Active
2025-08-28,Mumbai,District A,Theft,Arrested,Solved
2025-08-29,Mumbai,District A,Assault,Not Arrested,Active
2025-08-29,Mumbai,District C,Theft,Not Arrested,Active
2025-08-29,Mumbai,District A,Assault,Arrested,Solved
2025-08-29,Mumbai,District C,Vandalism,Not Arrested,Active
2025-08-29,Mumbai,District C,Theft,Not Arrested,Active
2025-08-29,Mumbai,District A,Theft,Not Arrested,Active
2025-08-29,Mumbai,District A,Burglary,Arrested,Solved
2025-08-29,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-29,Mumbai,District B,Burglary,Not Arrested,Active
2025-08-29,Mumbai,District B,Theft,Not Arrested,Active
2025-08-29,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-29,Mumbai,District B,Vandalism,Not Arrested,Active
2025-08-30,Mumbai,District C,Theft,Not Arrested,Active
2025-08-30,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-30,Mumbai,District A,Theft,Not Arrested,Active
2025-08-30,Mumbai,District D,Traffic Violation,Arrested,Solved
2025-08-30,Mumbai,District C,Theft,Not Arrested,Active
2025-08-30,Mumbai,District B,Theft,Arrested,Solved
2025-08-30,Mumbai,District A,Theft,Not Arrested,Active
2025-08-30,Mumbai,District D,Theft,Not Arrested,Active
2025-08-30,Mumbai,District A,Burglary,Arrested,Solved
2025-08-30,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-08-30,Mumbai,District A,Theft,Not Arrested,Active
2025-08-30,Mumbai,District A,Assault,Not Arrested,Active
2025-08-30,Mumbai,District C,Traffic Violation,Arrested,Solved
2025-08-30,Mumbai,District A,Theft,Not Arrested,Active
2025-08-30,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-08-31,Mumbai,District A,Vandalism,Arrested,Solved
2025-08-31,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-31,Mumbai,District A,Vandalism,Not Arrested,Active
2025-08-31,Mumbai,District A,Burglary,Not Arrested,Active
2025-08-31,Mumbai,District C,Traffic Violation,Arrested,Solved
2025-08-31,Mumbai,District A,Theft,Not Arrested,Active
2025-08-31,Mumbai,District D,Traffic Violation,Arrested,Solved
2025-08-31,Mumbai,District A,Vandalism,Not Arrested,Active
2025-09-01,Mumbai,District A,Burglary,Not Arrested,Active
2025-09-01,Mumbai,District A,Theft,Not Arrested,Active
2025-09-01,Mumbai,District A,Vandalism,Not Arrested,Active
2025-09-01,Mumbai,District D,Assault,Not Arrested,Active
2025-09-01,Mumbai,District A,Vandalism,Not Arrested,Active
2025-09-01,Mumbai,District B,Vandalism,Arrested,Solved
2025-09-01,Mumbai,District B,Assault,Arrested,Solved
2025-09-01,Mumbai,District C,Burglary,Not Arrested,Active
2025-09-01,Mumbai,District A,Theft,Not Arrested,Active
2025-09-01,Mumbai,District A,Vandalism,Arrested,Solved
2025-09-01,Mumbai,District A,Assault,Not Arrested,Solved
2025-09-02,Mumbai,District A,Vandalism,Arrested,Solved
2025-09-02,Mumbai,District C,Vandalism,Not Arrested,Active
2025-09-02,Mumbai,District C,Traffic Violation,Arrested,Solved
2025-09-02,Mumbai,District D,Theft,Not Arrested,Active
2025-09-02,Mumbai,District C,Assault,Not Arrested,Active
2025-09-02,Mumbai,District C,Vandalism,Not Arrested,Active
2025-09-03,Mumbai,District A,Burglary,Not Arrested,Active
2025-09-03,Mumbai,District A,Vandalism,Not Arrested,Active
2025-09-03,Mumbai,District B,Theft,Not Arrested,Active
2025-09-03,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-09-03,Mumbai,District A,Vandalism,Not Arrested,Active
2025-09-03,Mumbai,District A,Burglary,Not Arrested,Active
2025-09-03,Mumbai,District A,Theft,Not Arrested,Active
2025-09-03,Mumbai,District A,Assault,Arrested,Solved
2025-09-03,Mumbai,District C,Vandalism,Not Arrested,Active
2025-09-03,Mumbai,District C,Vandalism,Not Arrested,Active
2025-09-03,Mumbai,District B,Theft,Not Arrested,Active
2025-09-03,Mumbai,District B,Vandalism,Not Arrested,Active
2025-09-04,Mumbai,District A,Assault,Not Arrested,Active
2025-09-04,Mumbai,District B,Vandalism,Arrested,Solved
2025-09-04,Mumbai,District D,Theft,Not Arrested,Active
2025-09-04,Mumbai,District B,Burglary,Not Arrested,Active
2025-09-04,Mumbai,District D,Burglary,Not Arrested,Active
2025-09-04,Mumbai,District C,Theft,Arrested,Solved
2025-09-04,Mumbai,District C,Theft,Not Arrested,Active
2025-09-05,Mumbai,District B,Assault,Arrested,Solved
2025-09-05,Mumbai,District A,Assault,Arrested,Solved
2025-09-05,Mumbai,District B,Vandalism,Not Arrested,Active
2025-09-05,Mumbai,District D,Theft,Not Arrested,Active
2025-09-05,Mumbai,District A,Theft,Not Arrested,Active
2025-09-05,Mumbai,District A,Theft,Not Arrested,Solved
2025-09-05,Mumbai,District C,Theft,Not Arrested,Active
2025-09-05,Mumbai,District D,Theft,Not Arrested,Active
2025-09-05,Mumbai,District B,Burglary,Not Arrested,Solved
2025-09-06,Mumbai,District B,Theft,Not Arrested,Active
2025-09-06,Mumbai,District B,Theft,Not Arrested,Active
2025-09-06,Mumbai,District C,Vandalism,Not Arrested,Active
2025-09-06,Mumbai,District A,Assault,Not Arrested,Active
2025-09-06,Mumbai,District A,Theft,Not Arrested,Active
2025-09-06,Mumbai,District A,Theft,Not Arrested,Active
2025-09-06,Mumbai,District A,Theft,Not Arrested,Active
2025-09-06,Mumbai,District D,Theft,Not Arrested,Active
2025-09-06,Mumbai,District A,Traffic Violation,Not Arrested,Active
2025-09-06,Mumbai,District B,Theft,Arrested,Solved
2025-09-06,Mumbai,District C,Theft,Not Arrested,Active
2025-09-06,Mumbai,District B,Theft,Arrested,Solved
2025-09-06,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-09-06,Mumbai,District B,Theft,Not Arrested,Active
2025-09-07,Mumbai,District A,Theft,Not Arrested,Active
2025-09-07,Mumbai,District B,Theft,Not Arrested,Active
2025-09-07,Mumbai,District B,Vandalism,Not Arrested,Active
2025-09-07,Mumbai,District B,Burglary,Not Arrested,Active
2025-09-07,Mumbai,District B,Vandalism,Not Arrested,Active
2025-09-07,Mumbai,District C,Assault,Arrested,Solved
2025-09-07,Mumbai,District C,Vandalism,Not Arrested,Active
2025-09-07,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-09-07,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-09-07,Mumbai,District B,Assault,Arrested,Solved
2025-09-07,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-09-08,Mumbai,District B,Assault,Arrested,Solved
2025-09-08,Mumbai,District C,Vandalism,Not Arrested,Active
2025-09-08,Mumbai,District B,Theft,Not Arrested,Active
2025-09-09,Mumbai,District C,Burglary,Arrested,Solved
2025-09-09,Mumbai,District A,Burglary,Arrested,Solved
2025-09-09,Mumbai,District D,Theft,Not Arrested,Active
2025-09-09,Mumbai,District A,Traffic Violation,Not Arrested,Active
2025-09-09,Mumbai,District C,Burglary,Arrested,Solved
2025-09-09,Mumbai,District B,Vandalism,Not Arrested,Active
2025-09-09,Mumbai,District A,Traffic Violation,Arrested,Solved
2025-09-09,Mumbai,District B,Theft,Not Arrested,Active
2025-09-10,Mumbai,District D,Burglary,Not Arrested,Active
2025-09-10,Mumbai,District A,Burglary,Not Arrested,Solved
2025-09-10,Mumbai,District D,Traffic Violation,Arrested,Solved
2025-09-10,Mumbai,District A,Assault,Arrested,Solved
2025-09-10,Mumbai,District C,Vandalism,Not Arrested,Active
2025-09-11,Mumbai,District D,Burglary,Arrested,Solved
2025-09-11,Mumbai,District D,Burglary,Not Arrested,Active
2025-09-11,Mumbai,District B,Vandalism,Not Arrested,Active
2025-09-11,Mumbai,District B,Burglary,Arrested,Solved
2025-09-11,Mumbai,District C,Vandalism,Not Arrested,Active
2025-09-11,Mumbai,District A,Assault,Not Arrested,Active
2025-09-11,Mumbai,District A,Theft,Not Arrested,Active
2025-09-11,Mumbai,District C,Theft,Not Arrested,Active
2025-09-11,Mumbai,District C,Theft,Not Arrested,Active
2025-09-12,Mumbai,District B,Assault,Not Arrested,Active
2025-09-12,Mumbai,District B,Theft,Not Arrested,Active
2025-09-12,Mumbai,District B,Theft,Not Arrested,Active
2025-09-12,Mumbai,District B,Assault,Not Arrested,Solved
2025-09-12,Mumbai,District C,Vandalism,Not Arrested,Active
2025-09-12,Mumbai,District B,Vandalism,Not Arrested,Active
2025-09-12,Mumbai,District B,Theft,Not Arrested,Solved
2025-09-13,Mumbai,District D,Theft,Not Arrested,Active
2025-09-13,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-09-13,Mumbai,District B,Theft,Not Arrested,Active
2025-09-13,Mumbai,District B,Assault,Arrested,Solved
2025-09-13,Mumbai,District A,Vandalism,Not Arrested,Active
2025-09-13,Mumbai,District A,Theft,Not Arrested,Active
2025-09-13,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-09-13,Mumbai,District D,Theft,Not Arrested,Active
2025-09-13,Mumbai,District B,Traffic Violation,Arrested,Solved
2025-09-13,Mumbai,District A,Burglary,Not Arrested,Active
2025-09-14,Mumbai,District B,Vandalism,Arrested,Solved
2025-09-14,Mumbai,District C,Theft,Not Arrested,Solved
2025-09-14,Mumbai,District B,Theft,Not Arrested,Solved
2025-09-14,Mumbai,District B,Vandalism,Not Arrested,Active
