Date,City,Daily_Passengers,Bus_Utilization,Metro_Ridership,Average_Delay,Route_Efficiency
2025-03-24,Mumbai,183318,57.5,109990,15.6,80.5
2025-03-25,Mumbai,186520,66.4,111912,15.4,82.2
2025-03-26,Mumbai,190880,60.4,114528,15.0,82.0
2025-03-27,Mumbai,174302,59.7,104581,16.6,80.1
2025-03-28,Mumbai,189926,74.3,113955,13.5,82.9
2025-03-29,Mumbai,89848,63.1,53908,11.5,86.6
2025-03-30,Mumbai,103439,60.3,67235,12.7,83.1
2025-03-31,Mumbai,182248,62.9,109348,15.2,80.3
2025-04-01,Mumbai,185195,66.8,111117,16.6,80.3
2025-04-02,Mumbai,179508,65.5,107704,17.5,81.2
2025-04-03,Mumbai,181488,61.9,108892,15.3,84.3
2025-04-04,Mumbai,177308,65.4,106384,18.2,80.5
2025-04-05,Mumbai,97737,69.7,58642,6.1,89.0
2025-04-06,Mumbai,97052,68.7,58231,6.8,87.0
2025-04-07,Mumbai,180454,64.9,108272,13.9,82.9
2025-04-08,Mumbai,173592,66.9,112834,19.9,75.6
2025-04-09,Mumbai,186367,57.6,121138,19.0,81.4
2025-04-10,Mumbai,176700,73.2,106020,16.0,79.2
2025-04-11,Mumbai,184313,58.5,119803,17.4,80.7
2025-04-12,Mumbai,94200,61.8,56520,11.3,84.9
2025-04-13,Mumbai,91796,55.4,59667,15.3,79.3
2025-04-14,Mumbai,172754,61.0,103652,14.4,84.1
2025-04-15,Mumbai,178690,72.5,107214,15.6,81.2
2025-04-16,Mumbai,174857,65.4,104914,15.5,79.4
2025-04-17,Mumbai,176646,66.0,105987,17.5,85.2
2025-04-18,Mumbai,185163,49.9,120355,19.2,77.1
2025-04-19,Mumbai,96885,71.2,58131,8.5,86.2
2025-04-20,Mumbai,90052,71.6,54031,9.3,88.9
2025-04-21,Mumbai,184216,59.8,110529,15.0,86.0
2025-04-22,Mumbai,187306,65.9,112383,17.7,83.0
2025-04-23,Mumbai,189517,67.7,113710,12.6,84.1
2025-04-24,Mumbai,188584,59.2,122579,17.6,79.7
2025-04-25,Mumbai,174774,66.1,104864,12.6,86.3
2025-04-26,Mumbai,97300,54.4,63245,21.9,76.1
2025-04-27,Mumbai,102968,63.3,66929,17.8,82.1
2025-04-28,Mumbai,186804,67.4,112082,17.5,79.4
2025-04-29,Mumbai,174597,65.4,104758,16.7,83.9
2025-04-30,Mumbai,171256,69.5,102753,13.5,80.6
2025-05-01,Mumbai,182397,58.2,109438,13.1,82.2
2025-05-02,Mumbai,169509,70.7,101705,19.3,80.1
2025-05-03,Mumbai,102651,73.5,61590,8.9,88.1
2025-05-04,Mumbai,109237,64.3,65542,9.0,89.7
2025-05-05,Mumbai,174270,65.1,104562,15.5,85.7
2025-05-06,Mumbai,185543,65.4,111325,13.3,85.7
2025-05-07,Mumbai,177499,67.8,115374,21.6,77.6
2025-05-08,Mumbai,181495,58.4,108897,17.8,80.8
2025-05-09,Mumbai,177241,60.0,115206,32.8,65.8
2025-05-10,Mumbai,97723,60.8,63519,19.6,79.7
2025-05-11,Mumbai,89796,71.2,58367,13.6,84.1
2025-05-12,Mumbai,177229,64.5,106337,14.1,82.4
2025-05-13,Mumbai,179804,65.3,116872,33.5,70.3
2025-05-14,Mumbai,178100,72.2,106860,15.2,79.8
2025-05-15,Mumbai,172678,77.3,103606,15.7,81.3
2025-05-16,Mumbai,175612,59.8,114147,19.7,80.0
2025-05-17,Mumbai,91780,59.3,55068,9.4,82.3
2025-05-18,Mumbai,89662,52.6,58280,15.3,81.2
2025-05-19,Mumbai,179899,55.8,116934,17.5,80.3
2025-05-20,Mumbai,171503,65.9,111476,22.8,77.7
2025-05-21,Mumbai,178936,57.3,107361,15.3,82.8
2025-05-22,Mumbai,182568,73.5,109540,16.9,77.8
2025-05-23,Mumbai,178905,70.1,107343,17.3,81.1
2025-05-24,Mumbai,93472,72.6,56083,11.0,83.3
2025-05-25,Mumbai,108366,62.4,65019,10.6,84.6
2025-05-26,Mumbai,175127,57.7,105076,16.6,82.4
2025-05-27,Mumbai,172353,52.1,112029,20.7,77.4
2025-05-28,Mumbai,172935,66.3,112407,25.8,73.5
2025-05-29,Mumbai,180603,60.6,117391,21.3,74.4
2025-05-30,Mumbai,188022,58.4,112813,14.3,85.7
2025-05-31,Mumbai,102336,75.8,61401,8.5,87.0
2025-06-01,Mumbai,104239,69.6,62543,9.7,89.8
2025-06-02,Mumbai,185343,57.4,120472,19.7,81.2
2025-06-03,Mumbai,188554,60.1,113132,16.5,82.1
2025-06-04,Mumbai,185162,67.9,111097,15.1,83.2
2025-06-05,Mumbai,175955,59.7,114370,30.4,72.7
2025-06-06,Mumbai,179585,65.2,107751,16.5,81.0
2025-06-07,Mumbai,99545,56.4,59727,10.9,88.3
2025-06-08,Mumbai,101537,72.5,60922,8.3,86.6
2025-06-09,Mumbai,181125,65.0,117731,18.5,78.4
2025-06-10,Mumbai,183913,67.5,110347,17.4,79.7
2025-06-11,Mumbai,174300,59.6,113295,27.4,71.6
2025-06-12,Mumbai,172773,69.9,103663,15.9,83.0
2025-06-13,Mumbai,177137,59.3,106282,15.0,80.9
2025-06-14,Mumbai,104349,55.2,67826,18.0,79.9
2025-06-15,Mumbai,97057,66.3,58234,12.7,88.0
2025-06-16,Mumbai,184362,72.7,110617,16.9,82.0
2025-06-17,Mumbai,182028,61.2,118318,22.4,74.9
2025-06-18,Mumbai,179349,69.4,107609,14.5,85.4
2025-06-19,Mumbai,179798,67.5,107878,14.6,86.9
2025-06-20,Mumbai,179272,70.2,116526,23.4,76.1
2025-06-21,Mumbai,95661,58.1,57396,10.4,86.0
2025-06-22,Mumbai,91155,69.8,59250,18.4,82.8
2025-06-23,Mumbai,171950,70.7,103170,14.1,85.2
2025-06-24,Mumbai,179216,63.4,107529,13.1,84.7
2025-06-25,Mumbai,182511,61.9,109506,14.4,84.1
2025-06-26,Mumbai,184521,57.5,119938,19.4,80.0
2025-06-27,Mumbai,171341,60.9,102804,14.0,83.4
2025-06-28,Mumbai,103079,61.9,61847,11.8,83.1
2025-06-29,Mumbai,97253,64.4,58351,13.3,82.5
2025-06-30,Mumbai,180430,65.1,108258,18.1,79.6
2025-07-01,Mumbai,183520,68.8,110112,16.1,82.3
2025-07-02,Mumbai,180445,59.2,108267,16.1,81.5
2025-07-03,Mumbai,174963,63.6,104977,13.1,83.3
2025-07-04,Mumbai,176227,72.3,105736,14.7,84.9
2025-07-05,Mumbai,107128,60.5,64276,10.2,85.2
2025-07-06,Mumbai,96811,64.0,58086,13.4,86.2
2025-07-07,Mumbai,176748,66.7,106048,16.4,78.1
2025-07-08,Mumbai,185029,59.4,120268,25.6,73.0
2025-07-09,Mumbai,178642,72.4,107185,15.4,82.0
2025-07-10,Mumbai,182004,56.7,109202,15.4,84.6
2025-07-11,Mumbai,182582,64.1,118678,26.1,71.8
2025-07-12,Mumbai,93259,59.1,55955,10.9,86.5
2025-07-13,Mumbai,108399,65.4,65039,13.4,85.7
2025-07-14,Mumbai,181491,68.5,108894,14.1,83.2
2025-07-15,Mumbai,172876,67.3,103725,14.3,81.4
2025-07-16,Mumbai,167218,57.9,100330,15.5,82.0
2025-07-17,Mumbai,182701,57.2,109620,15.5,79.1
2025-07-18,Mumbai,187950,67.3,112770,14.2,80.8
2025-07-19,Mumbai,98680,55.5,59208,11.2,85.5
2025-07-20,Mumbai,106593,67.3,63955,7.9,83.7
2025-07-21,Mumbai,189796,63.6,113877,16.9,81.5
2025-07-22,Mumbai,181502,55.6,117976,17.5,77.8
2025-07-23,Mumbai,183586,65.8,119330,21.9,75.9
2025-07-24,Mumbai,177370,68.2,106422,15.1,82.9
2025-07-25,Mumbai,179915,57.2,116944,44.1,60.8
2025-07-26,Mumbai,83077,57.4,54000,19.7,80.7
2025-07-27,Mumbai,94760,65.9,56856,13.1,84.5
2025-07-28,Mumbai,190829,57.2,114497,15.9,82.2
2025-07-29,Mumbai,177975,62.1,106785,14.2,88.3
2025-07-30,Mumbai,180309,64.8,117200,18.2,82.5
2025-07-31,Mumbai,177563,68.9,115415,21.8,76.9
2025-08-01,Mumbai,177338,65.9,115269,19.1,79.0
2025-08-02,Mumbai,98696,63.8,59217,8.7,87.4
2025-08-03,Mumbai,103328,62.5,61996,10.6,88.1
2025-08-04,Mumbai,185520,68.7,111312,15.9,83.3
2025-08-05,Mumbai,176201,61.5,114530,23.0,76.7
2025-08-06,Mumbai,190735,74.3,114441,14.1,82.9
2025-08-07,Mumbai,180254,61.0,117165,18.3,83.3
2025-08-08,Mumbai,175285,66.7,105171,16.3,84.2
2025-08-09,Mumbai,102455,66.7,61473,11.9,87.4
2025-08-10,Mumbai,104046,74.5,62427,9.3,89.1
2025-08-11,Mumbai,185083,62.9,111049,17.4,80.8
2025-08-12,Mumbai,174082,61.2,113153,21.6,76.7
2025-08-13,Mumbai,173137,63.0,112539,19.7,80.0
2025-08-14,Mumbai,179556,64.2,107733,15.9,83.9
2025-08-15,Mumbai,181597,65.9,108958,14.4,83.5
2025-08-16,Mumbai,98681,62.4,59208,10.1,89.0
2025-08-17,Mumbai,92489,70.9,55493,9.0,87.9
2025-08-18,Mumbai,183615,56.3,110169,17.3,78.7
2025-08-19,Mumbai,182371,66.6,109422,16.3,82.6
2025-08-20,Mumbai,188176,71.0,122314,18.9,79.8
2025-08-21,Mumbai,182740,65.9,109644,15.1,83.2
2025-08-22,Mumbai,176872,63.8,106123,15.9,80.5
2025-08-23,Mumbai,104234,52.4,67752,25.1,74.6
2025-08-24,Mumbai,92558,70.0,55534,11.1,86.0
2025-08-25,Mumbai,190125,65.3,123581,25.5,74.7
2025-08-26,Mumbai,189931,69.3,113958,12.8,88.5
2025-08-27,Mumbai,187995,67.0,112797,13.9,83.9
2025-08-28,Mumbai,172522,57.4,112139,24.7,78.6
2025-08-29,Mumbai,180008,52.3,108004,14.8,83.8
2025-08-30,Mumbai,100682,67.6,65443,23.1,77.6
2025-08-31,Mumbai,98942,66.5,59365,10.7,87.5
2025-09-01,Mumbai,179617,66.9,107770,15.1,82.7
2025-09-02,Mumbai,181431,65.4,108858,15.1,82.1
2025-09-03,Mumbai,178950,57.4,107370,13.2,81.1
2025-09-04,Mumbai,176070,71.6,105642,14.0,87.7
2025-09-05,Mumbai,175630,58.8,105378,15.0,83.5
2025-09-06,Mumbai,93167,64.9,55900,8.2,88.7
2025-09-07,Mumbai,91610,67.2,54966,9.9,87.5
2025-09-08,Mumbai,181057,56.2,117687,18.2,80.8
2025-09-09,Mumbai,177047,59.4,115080,20.9,79.7
2025-09-10,Mumbai,173117,66.9,103870,15.3,82.5
2025-09-11,Mumbai,179944,69.4,107966,18.3,79.1
2025-09-12,Mumbai,185216,65.4,111129,18.4,81.5
2025-09-13,Mumbai,102766,58.2,66797,22.5,73.4
2025-09-14,Mumbai,99779,67.8,59867,14.7,84.1
2025-09-15,Mumbai,181193,63.1,117775,32.9,70.7
2025-09-16,Mumbai,172563,56.5,103537,16.4,81.5
2025-09-17,Mumbai,180961,63.3,108576,17.2,78.4
2025-09-18,Mumbai,182787,55.4,118811,17.0,80.6
2025-09-19,Mumbai,177271,66.0,106362,16.7,80.7
2025-09-20,Mumbai,102586,66.4,61551,10.2,88.4
2025-09-21,Mumbai,93181,67.7,60567,35.9,70.7
2025-09-22,Mumbai,185082,62.5,111049,17.6,81.5
2025-09-23,Mumbai,181935,59.8,118257,24.0,76.4
2025-09-24,Mumbai,187664,63.8,112598,17.1,84.4
2025-09-25,Mumbai,190117,61.4,123576,28.3,72.6
2025-09-26,Mumbai,187151,57.8,121648,25.1,75.0
2025-09-27,Mumbai,96687,75.2,58012,9.9,87.5
2025-09-28,Mumbai,96213,63.7,62538,31.9,66.9
2025-09-29,Mumbai,180118,60.0,108070,13.3,84.2
2025-09-30,Mumbai,171562,58.0,102937,15.4,85.6
2025-10-01,Mumbai,181452,62.8,117943,23.8,78.0
2025-10-02,Mumbai,179450,71.5,116642,31.8,69.7
2025-10-03,Mumbai,176844,62.5,106106,15.1,81.9
2025-10-04,Mumbai,92365,65.0,55419,8.9,88.4
2025-10-05,Mumbai,97961,61.5,58776,11.4,85.4
2025-10-06,Mumbai,188957,62.4,122822,22.4,75.0
2025-10-07,Mumbai,175979,72.6,105587,14.3,86.9
2025-10-08,Mumbai,178237,65.3,106942,13.8,84.6
2025-10-09,Mumbai,168813,59.8,109728,21.8,75.3
2025-10-10,Mumbai,179880,66.5,107928,16.0,81.5
2025-10-11,Mumbai,102039,68.6,61223,11.4,87.4
2025-10-12,Mumbai,98121,62.6,58872,9.1,86.7
2025-10-13,Mumbai,186542,65.6,111925,15.7,81.6
2025-10-14,Mumbai,181380,65.8,108828,15.2,84.6
2025-10-15,Mumbai,179556,54.4,116711,19.8,79.2
2025-10-16,Mumbai,185754,68.9,111452,14.2,83.2
2025-10-17,Mumbai,180829,68.0,108497,13.6,85.2
2025-10-18,Mumbai,90001,54.2,58500,20.4,80.0
2025-10-19,Mumbai,100796,67.1,60477,10.4,90.0
2025-10-20,Mumbai,188905,54.5,122788,21.7,79.9
2025-10-21,Mumbai,182141,61.5,109284,14.5,83.5
2025-10-22,Mumbai,172906,62.3,103743,16.1,79.9
2025-10-23,Mumbai,177763,53.8,106657,15.5,80.0
2025-10-24,Mumbai,182560,66.2,109536,12.7,83.5
2025-10-25,Mumbai,105246,63.7,63147,8.7,85.3
2025-10-26,Mumbai,104890,64.4,68178,17.0,81.2
2025-10-27,Mumbai,183623,56.5,119354,29.5,71.6
2025-10-28,Mumbai,191585,64.3,114951,16.9,78.6
2025-10-29,Mumbai,183868,57.8,119514,33.5,70.9
2025-10-30,Mumbai,181765,56.9,118147,22.0,76.3
2025-10-31,Mumbai,179161,64.0,107496,15.5,84.6
2025-11-01,Mumbai,97834,66.9,58700,9.8,87.9
2025-11-02,Mumbai,97819,64.3,63582,16.5,81.2
2025-11-03,Mumbai,174866,66.4,104919,13.7,80.8
2025-11-04,Mumbai,188541,65.0,113124,14.5,83.3
2025-11-05,Mumbai,191485,67.8,114891,15.0,85.5
2025-11-06,Mumbai,174043,65.5,104425,16.7,81.3
2025-11-07,Mumbai,184437,71.7,110662,15.9,84.7
2025-11-08,Mumbai,100693,54.0,65450,30.8,70.5
2025-11-09,Mumbai,100546,58.9,60327,12.4,87.7
2025-11-10,Mumbai,182846,67.5,109707,17.2,81.4
2025-11-11,Mumbai,176959,75.5,106175,15.4,78.9
2025-11-12,Mumbai,181677,57.1,118090,17.4,78.8
2025-11-13,Mumbai,186531,62.7,111918,15.2,81.8
2025-11-14,Mumbai,185205,68.9,111123,13.5,82.4
2025-11-15,Mumbai,96719,74.7,58031,9.1,86.6
2025-11-16,Mumbai,94271,59.9,61276,33.0,69.0
2025-11-17,Mumbai,177463,72.9,106477,16.9,78.2
2025-11-18,Mumbai,181897,70.4,109138,12.9,85.6
2025-11-19,Mumbai,178144,63.9,106886,12.8,86.0
2025-11-20,Mumbai,182504,58.0,109502,12.8,82.5
2025-11-21,Mumbai,176040,66.0,105624,13.1,84.1
2025-11-22,Mumbai,103637,55.5,62182,10.6,86.8
2025-11-23,Mumbai,99640,69.0,59784,10.2,84.6
2025-11-24,Mumbai,182609,67.6,109565,16.9,82.6
2025-11-25,Mumbai,177001,66.7,106200,15.5,85.0
2025-11-26,Mumbai,175589,58.6,105353,15.2,82.3
2025-11-27,Mumbai,187964,74.5,112778,16.6,82.4
2025-11-28,Mumbai,179183,64.6,107509,15.6,83.8
2025-11-29,Mumbai,98276,62.5,58965,11.2,85.7
2025-11-30,Mumbai,96656,74.5,57993,11.6,87.8
2025-12-01,Mumbai,185915,68.6,111549,12.9,80.0
2025-12-02,Mumbai,184998,59.7,110998,13.5,84.0
2025-12-03,Mumbai,185109,59.2,120320,37.7,66.3
2025-12-04,Mumbai,181049,62.1,108629,16.8,79.4
2025-12-05,Mumbai,185362,67.4,111217,13.5,81.6
2025-12-06,Mumbai,97777,56.0,58666,10.6,85.9
2025-12-07,Mumbai,93057,58.7,55834,13.1,84.0
2025-12-08,Mumbai,172796,70.5,103677,14.7,83.5
2025-12-09,Mumbai,173036,68.1,103821,14.5,80.9
2025-12-10,Mumbai,174857,59.9,104914,15.6,85.9
2025-12-11,Mumbai,185737,72.8,111442,13.4,83.5
2025-12-12,Mumbai,179634,63.0,107780,14.4,81.9
2025-12-13,Mumbai,91118,67.6,54670,10.5,87.8
2025-12-14,Mumbai,91738,66.9,55042,7.1,89.2
2025-12-15,Mumbai,175855,65.7,105513,14.7,84.1
2025-12-16,Mumbai,175769,55.1,114249,23.8,77.4
2025-12-17,Mumbai,178540,66.2,107124,15.6,81.9
2025-12-18,Mumbai,166058,69.6,107937,17.7,81.9
2025-12-19,Mumbai,175682,62.1,105409,16.1,83.1
2025-12-20,Mumbai,103567,77.4,62140,13.0,82.0
2025-12-21,Mumbai,114398,61.1,74358,11.5,88.7
2025-12-22,Mumbai,185535,70.5,111321,14.3,80.9
2025-12-23,Mumbai,189397,66.0,113638,14.8,86.1
2025-12-24,Mumbai,187865,66.4,112719,17.4,77.3
2025-12-25,Mumbai,175519,67.6,105311,16.8,86.7
2025-12-26,Mumbai,175728,63.0,105436,16.4,81.2
2025-12-27,Mumbai,102878,65.4,66870,13.4,80.9
2025-12-28,Mumbai,107722,57.9,64633,8.8,90.0
2025-12-29,Mumbai,178757,63.3,107254,11.7,84.4
2025-12-30,Mumbai,182943,70.4,109765,13.6,81.6
2025-12-31,Mumbai,175499,61.7,105299,9.9,88.7
2026-01-01,Mumbai,170262,61.0,102157,14.0,81.7
2026-01-02,Mumbai,181989,63.8,109193,13.1,83.7
2026-01-03,Mumbai,98739,66.2,59243,12.0,86.1
2026-01-04,Mumbai,99695,60.3,59817,8.0,87.3
2026-01-05,Mumbai,176646,67.8,105987,17.6,75.4
2026-01-06,Mumbai,181703,69.2,109021,12.8,88.3
2026-01-07,Mumbai,178602,69.1,107161,14.7,84.7
2026-01-08,Mumbai,181829,52.5,118188,19.7,78.3
2026-01-09,Mumbai,184369,64.1,110621,14.4,81.8
2026-01-10,Mumbai,107258,69.4,64354,11.3,87.0
2026-01-11,Mumbai,103980,62.1,62388,8.5,86.4
2026-01-12,Mumbai,178690,63.0,107214,12.8,87.6
2026-01-13,Mumbai,183268,60.3,119124,37.9,65.0
2026-01-14,Mumbai,182713,64.8,109627,13.1,84.2
2026-01-15,Mumbai,176813,59.5,114928,23.1,79.1
2026-01-16,Mumbai,176461,65.5,105876,20.2,81.2
2026-01-17,Mumbai,109817,68.2,65890,8.7,90.5
2026-01-18,Mumbai,91449,70.7,54869,10.0,90.1
2026-01-19,Mumbai,185757,67.8,111454,15.6,81.8
2026-01-20,Mumbai,176827,65.8,106096,16.6,82.0
2026-01-21,Mumbai,181529,53.8,117993,23.6,79.9
2026-01-22,Mumbai,179933,66.1,107959,15.0,86.5
2026-01-23,Mumbai,175441,52.8,114036,41.1,59.4
2026-01-24,Mumbai,104521,51.9,62712,9.4,83.3
2026-01-25,Mumbai,100452,57.3,60271,9.0,87.7
2026-01-26,Mumbai,188774,77.0,113264,13.4,86.5
2026-01-27,Mumbai,171570,62.7,102942,15.7,77.5
2026-01-28,Mumbai,187471,61.2,112482,13.9,85.3
2026-01-29,Mumbai,185747,63.6,111448,15.4,84.4
2026-01-30,Mumbai,181239,50.6,117805,24.5,77.7
2026-01-31,Mumbai,103147,63.7,61888,10.7,86.9
2026-02-01,Mumbai,88005,63.4,52803,10.5,88.3
2026-02-02,Mumbai,178605,66.4,107163,13.3,86.0
2026-02-03,Mumbai,187259,68.4,112355,16.0,83.7
2026-02-04,Mumbai,188226,73.2,112935,13.3,85.4
2026-02-05,Mumbai,177975,70.6,106785,15.9,83.4
2026-02-06,Mumbai,177585,64.6,115430,31.6,70.7
2026-02-07,Mumbai,100279,68.1,60167,10.7,88.1
2026-02-08,Mumbai,103028,64.4,61816,9.9,87.7
2026-02-09,Mumbai,174932,72.0,104959,18.3,80.0
2026-02-10,Mumbai,185673,62.3,111403,13.0,82.2
2026-02-11,Mumbai,176735,59.4,106041,17.2,82.3
2026-02-12,Mumbai,182418,70.4,109450,17.7,80.1
2026-02-13,Mumbai,173369,48.2,112689,22.8,77.9
2026-02-14,Mumbai,102101,57.8,61260,9.6,87.4
2026-02-15,Mumbai,100901,56.2,60540,8.7,86.0
2026-02-16,Mumbai,178142,78.9,106885,14.8,85.4
2026-02-17,Mumbai,179140,65.8,107484,14.2,85.9
2026-02-18,Mumbai,175926,69.8,105555,15.2,81.9
2026-02-19,Mumbai,182420,65.1,109452,16.2,85.0
2026-02-20,Mumbai,169387,61.9,110101,23.3,74.2
2026-02-21,Mumbai,87779,52.8,52667,9.3,91.3
2026-02-22,Mumbai,99591,68.7,59754,7.4,85.3
2026-02-23,Mumbai,175097,59.5,105058,16.4,81.6
2026-02-24,Mumbai,180244,70.6,108146,12.7,85.0
2026-02-25,Mumbai,178374,65.8,107024,19.4,79.8
2026-02-26,Mumbai,184043,61.6,110425,15.0,83.8
2026-02-27,Mumbai,184340,69.5,110604,17.5,82.7
2026-02-28,Mumbai,98798,61.6,64218,23.7,76.5
2026-03-01,Mumbai,101516,58.0,65985,13.2,86.1
2026-03-02,Mumbai,185013,70.5,111007,16.6,85.7
2026-03-03,Mumbai,169602,58.8,110241,24.2,74.4
2026-03-04,Mumbai,186863,48.6,112117,16.3,80.3
2026-03-05,Mumbai,174766,54.6,104859,14.5,85.5
2026-03-06,Mumbai,184545,65.8,110727,14.7,82.9
2026-03-07,Mumbai,101835,67.4,61101,10.1,85.4
2026-03-08,Mumbai,96769,60.6,58061,10.3,83.7
2026-03-09,Mumbai,188710,61.0,113226,13.8,84.8
2026-03-10,Mumbai,184709,65.7,120060,20.8,77.8
2026-03-11,Mumbai,184925,60.8,110955,14.4,84.3
2026-03-12,Mumbai,179110,61.3,107466,17.3,81.8
2026-03-13,Mumbai,181459,62.4,108875,15.2,85.4
2026-03-14,Mumbai,98902,66.1,59341,11.7,86.1
2026-03-15,Mumbai,94544,65.4,56726,10.7,82.3
2026-03-16,Mumbai,187241,72.0,112344,15.3,81.9
2026-03-17,Mumbai,181987,60.7,109192,16.1,77.1
2026-03-18,Mumbai,173551,62.8,104130,15.5,84.1
2026-03-19,Mumbai,181664,65.3,108998,14.0,82.3
2026-03-20,Mumbai,184712,65.3,110827,15.0,84.5
2026-03-21,Mumbai,106762,67.6,64057,8.9,89.8
2026-03-22,Mumbai,91873,60.8,55123,10.0,87.7
2026-03-23,Mumbai,187354,62.9,112412,14.3,83.3
2026-03-24,Mumbai,183857,56.7,119507,18.2,81.2
2026-03-25,Mumbai,170473,69.4,102283,16.2,81.4
2026-03-26,Mumbai,186127,58.3,111676,14.8,81.4
2026-03-27,Mumbai,175959,66.2,114373,26.8,74.5
2026-03-28,Mumbai,96113,63.8,57667,8.2,91.3
2026-03-29,Mumbai,102684,68.4,61610,9.3,91.1
2026-03-30,Mumbai,171591,61.6,111534,23.1,76.5
2026-03-31,Mumbai,179145,57.1,107487,13.7,87.3
2026-04-01,Mumbai,175248,66.3,105148,14.6,82.9
2026-04-02,Mumbai,179061,57.7,107436,17.2,85.1
2026-04-03,Mumbai,184556,59.7,110733,18.3,84.4
2026-04-04,Mumbai,97216,68.1,58329,12.2,87.6
2026-04-05,Mumbai,99971,68.3,59982,9.4,86.6
2026-04-06,Mumbai,182645,63.2,109587,19.6,78.8
2026-04-07,Mumbai,178438,62.8,107062,14.4,85.1
2026-04-08,Mumbai,173435,52.6,112732,18.2,80.7
2026-04-09,Mumbai,179602,57.2,107761,14.4,82.9
2026-04-10,Mumbai,178890,64.1,107334,15.3,81.9
2026-04-11,Mumbai,101180,52.3,65767,15.8,84.6
2026-04-12,Mumbai,89494,65.3,53696,8.9,88.1
2026-04-13,Mumbai,173513,57.8,104107,14.6,81.8
2026-04-14,Mumbai,171615,71.0,102969,14.1,85.8
2026-04-15,Mumbai,173732,69.9,104239,14.5,87.3
2026-04-16,Mumbai,180946,70.9,108567,14.1,81.3
2026-04-17,Mumbai,176453,62.8,105871,14.2,84.1
2026-04-18,Mumbai,99102,61.3,64416,15.9,79.7
2026-04-19,Mumbai,94675,55.5,61538,17.0,79.3
2026-04-20,Mumbai,185904,65.1,120837,23.0,76.6
2026-04-21,Mumbai,181323,75.3,108793,14.3,80.0
2026-04-22,Mumbai,179221,65.1,107532,17.6,83.3
2026-04-23,Mumbai,179119,61.1,107471,18.6,79.5
2026-04-24,Mumbai,176350,71.8,105810,15.3,82.2
2026-04-25,Mumbai,99903,56.1,59941,9.2,88.2
2026-04-26,Mumbai,102222,71.2,61333,9.0,88.6
2026-04-27,Mumbai,190400,68.7,114240,14.5,82.2
2026-04-28,Mumbai,185349,54.6,111209,13.3,84.0
2026-04-29,Mumbai,177042,62.1,106225,15.3,84.7
2026-04-30,Mumbai,180939,63.9,117610,17.8,84.5
2026-05-01,Mumbai,190301,63.4,114180,13.4,85.8
2026-05-02,Mumbai,99448,56.3,59668,8.8,87.5
2026-05-03,Mumbai,105471,68.7,68556,18.1,79.8
2026-05-04,Mumbai,179187,65.0,116471,20.5,79.1
2026-05-05,Mumbai,183171,64.8,109902,16.6,82.0
2026-05-06,Mumbai,179433,64.2,116631,25.5,75.7
2026-05-07,Mumbai,180960,63.3,108576,14.9,83.3
2026-05-08,Mumbai,173992,57.2,104395,15.9,82.7
2026-05-09,Mumbai,94106,55.8,56463,10.8,85.3
2026-05-10,Mumbai,97106,60.0,63118,8.9,88.6
2026-05-11,Mumbai,178627,62.0,107176,16.1,83.5
2026-05-12,Mumbai,180519,64.2,108311,18.2,79.2
2026-05-13,Mumbai,180830,61.8,117539,18.6,80.0
2026-05-14,Mumbai,174042,63.5,104425,15.3,83.5
2026-05-15,Mumbai,174493,67.7,104695,18.1,78.2
2026-05-16,Mumbai,102779,61.8,61667,9.3,86.3
2026-05-17,Mumbai,103241,45.7,67106,18.3,78.5
2026-05-18,Mumbai,180765,67.1,108459,13.9,81.7
2026-05-19,Mumbai,178588,59.5,116082,16.7,80.2
2026-05-20,Mumbai,179488,59.5,107692,14.5,81.4
2026-05-21,Mumbai,183216,69.3,109929,17.0,85.0
2026-05-22,Mumbai,174312,61.9,104587,12.6,85.7
2026-05-23,Mumbai,106690,61.1,64014,11.3,85.3
2026-05-24,Mumbai,106366,57.9,69137,20.9,77.3
2026-05-25,Mumbai,185353,63.0,120479,35.4,65.8
2026-05-26,Mumbai,179726,78.0,107835,17.7,81.5
2026-05-27,Mumbai,172225,57.2,103335,14.7,85.1
2026-05-28,Mumbai,191211,55.0,124287,18.3,79.8
2026-05-29,Mumbai,174700,70.7,104820,17.9,79.9
2026-05-30,Mumbai,97912,70.3,58747,10.7,87.8
2026-05-31,Mumbai,105456,63.5,63273,9.0,87.0
2026-06-01,Mumbai,169712,63.7,101827,16.2,79.3
2026-06-02,Mumbai,182361,65.7,118534,37.0,62.9
2026-06-03,Mumbai,182072,68.7,109243,14.2,81.6
2026-06-04,Mumbai,181697,60.3,109018,19.2,81.9
2026-06-05,Mumbai,179289,68.6,107573,13.4,86.7
2026-06-06,Mumbai,95448,55.7,62041,25.9,76.7
2026-06-07,Mumbai,100983,52.1,60589,13.4,84.8
2026-06-08,Mumbai,174313,58.4,113303,32.2,68.9
2026-06-09,Mumbai,175379,59.9,113996,30.3,68.8
2026-06-10,Mumbai,174170,63.5,104502,11.0,85.6
2026-06-11,Mumbai,186191,64.8,111714,14.5,80.8
2026-06-12,Mumbai,170058,57.0,102034,16.3,82.0
2026-06-13,Mumbai,100006,64.1,60003,9.2,86.6
2026-06-14,Mumbai,96290,54.6,57774,11.5,83.2
2026-06-15,Mumbai,191158,67.2,114694,13.4,86.4
2026-06-16,Mumbai,180386,61.1,108231,18.8,80.7
